START TIME:2022-08-22 22:19:30
REPEAT,TIME(sec),VOLTAGE(V),CURRENT(A)
5,9.039148e+00, -9.80000e-01, -1.21931e-08
5,9.059195e+00, -9.60000e-01, -1.16529e-08
5,9.079244e+00, -9.40000e-01, -1.07262e-08
5,9.099293e+00, -9.20000e-01, -1.00862e-08
5,9.119340e+00, -9.00000e-01, -9.79877e-09
5,9.139388e+00, -8.80000e-01, -9.35042e-09
5,9.159437e+00, -8.60000e-01, -8.79002e-09
5,9.179486e+00, -8.40000e-01, -7.82752e-09
5,9.199533e+00, -8.20000e-01, -7.24518e-09
5,9.219582e+00, -8.00000e-01, -6.61302e-09
5,9.239631e+00, -7.80000e-01, -6.28972e-09
5,9.259679e+00, -7.60000e-01, -5.91052e-09
5,9.279727e+00, -7.40000e-01, -5.58281e-09
5,9.299777e+00, -7.20000e-01, -5.34880e-09
5,9.319829e+00, -7.00000e-01, -5.04506e-09
5,9.339878e+00, -6.80000e-01, -4.74977e-09
5,9.359927e+00, -6.60000e-01, -4.31585e-09
5,9.379974e+00, -6.40000e-01, -4.07505e-09
5,9.400023e+00, -6.20000e-01, -4.00555e-09
5,9.420072e+00, -6.00000e-01, -3.82435e-09
5,9.440119e+00, -5.80000e-01, -3.55053e-09
5,9.460168e+00, -5.60000e-01, -3.21853e-09
5,9.480216e+00, -5.40000e-01, -3.00741e-09
5,9.500265e+00, -5.20000e-01, -2.91002e-09
5,9.520314e+00, -5.00000e-01, -2.70963e-09
5,9.540363e+00, -4.80000e-01, -2.54369e-09
5,9.560412e+00, -4.60000e-01, -2.36416e-09
5,9.580459e+00, -4.40000e-01, -2.21241e-09
5,9.600507e+00, -4.20000e-01, -2.05588e-09
5,9.620556e+00, -4.00000e-01, -1.96517e-09
5,9.640605e+00, -3.80000e-01, -1.84333e-09
5,9.660652e+00, -3.60000e-01, -1.71363e-09
5,9.680704e+00, -3.40000e-01, -1.59800e-09
5,9.700753e+00, -3.20000e-01, -1.51920e-09
5,9.720802e+00, -3.00000e-01, -1.40440e-09
5,9.740849e+00, -2.80000e-01, -1.30045e-09
5,9.760898e+00, -2.60000e-01, -1.15716e-09
5,9.780946e+00, -2.40000e-01, -1.04976e-09
5,9.800994e+00, -2.20000e-01, -9.74417e-10
5,9.821549e+00, -2.00000e-01, -8.87871e-10
5,9.841598e+00, -1.80000e-01, -7.41124e-10
5,9.861646e+00, -1.60000e-01, -6.32048e-10
5,9.881695e+00, -1.40000e-01, -5.53012e-10
5,9.901744e+00, -1.20000e-01, -4.85420e-10
5,9.921791e+00, -1.00000e-01, -4.13418e-10
5,9.941840e+00, -8.00000e-02, -3.31759e-10
5,9.961883e+00, -6.00000e-02, -2.55466e-10
5,9.981934e+00, -4.00000e-02, -1.77860e-10
5,1.000198e+01, -2.00000e-02, -1.12295e-10
5,1.002214e+01, 0.00000e+00, -6.23465e-11
5,1.004219e+01, 2.00000e-02, 4.42266e-11
5,1.006223e+01, 4.00000e-02, 1.22070e-10
5,1.008228e+01, 6.00000e-02, 2.06828e-10
5,1.010233e+01, 8.00000e-02, 2.76804e-10
5,1.012238e+01, 1.00000e-01, 3.54648e-10
5,1.014243e+01, 1.20000e-01, 4.40717e-10
5,1.016248e+01, 1.40000e-01, 5.27024e-10
5,1.018252e+01, 1.60000e-01, 6.00219e-10
5,1.020257e+01, 1.80000e-01, 7.12276e-10
5,1.022262e+01, 2.00000e-01, 7.79390e-10
5,1.024318e+01, 2.20000e-01, 9.05156e-10
5,1.026322e+01, 2.40000e-01, 9.86099e-10
5,1.028327e+01, 2.60000e-01, 1.05536e-09
5,1.030332e+01, 2.80000e-01, 1.26040e-09
5,1.032337e+01, 3.00000e-01, 1.43945e-09
5,1.034342e+01, 3.20000e-01, 1.55163e-09
5,1.036347e+01, 3.40000e-01, 1.75261e-09
5,1.038351e+01, 3.60000e-01, 1.92153e-09
5,1.040356e+01, 3.80000e-01, 2.01094e-09
